X,Y,month,month_num,day,day_num,temp,wind,rain,RH,FFMC,DMC,DC,ISI,area,log_burned_area,burn_units
2,4,jan,1,sat,6,5.3,3.1,0.0,78,82.1,3.7,9.3,2.9,0.0,0.0,Low Burn
4,5,jan,1,sun,7,5.2,0.9,0.0,100,18.7,1.1,171.4,0.0,0.0,0.0,Low Burn
3,4,feb,2,sat,6,12.7,1.8,0.0,48,83.9,8.0,30.2,2.6,0.0,0.0,Low Burn
2,2,feb,2,fri,5,12.3,0.9,0.0,51,86.6,13.2,43.0,5.3,0.0,0.0,Low Burn
7,4,feb,2,sun,7,8.8,2.2,0.0,68,83.9,8.7,32.1,2.1,13.05,2.642622395779755,High Burn
9,9,feb,2,fri,5,15.7,3.1,0.0,43,86.6,13.2,43.0,5.3,0.0,0.0,Low Burn
9,9,feb,2,thu,4,6.7,3.1,0.0,79,84.2,6.8,26.6,7.7,0.0,0.0,Low Burn
5,4,feb,2,sun,7,12.4,2.2,0.0,53,86.8,15.6,48.3,3.9,6.38,1.998773638612381,High Burn
5,4,feb,2,fri,5,7.5,8.0,0.0,46,85.2,4.9,15.8,6.3,24.24,3.228430037673012,High Burn
4,6,feb,2,sat,6,15.4,2.7,0.0,40,68.2,21.5,87.2,0.8,0.0,0.0,Low Burn
7,4,feb,2,fri,5,8.2,9.4,0.0,53,84.6,3.2,43.6,3.3,4.62,1.7263316639055997,High Burn
6,3,feb,2,fri,5,14.7,2.7,0.0,42,84.1,7.3,52.8,2.7,0.0,0.0,Low Burn
3,4,feb,2,wed,3,8.8,3.1,0.0,35,86.9,6.6,18.7,3.2,1.1,0.7419373447293773,Low Burn
6,3,feb,2,sun,7,4.2,4.0,0.0,51,84.9,27.5,353.5,3.4,0.0,0.0,Low Burn
2,2,feb,2,mon,1,13.9,5.4,0.0,40,84.0,9.3,34.0,2.1,0.0,0.0,Low Burn
4,5,feb,2,sat,6,14.2,4.0,0.0,46,84.7,8.2,55.0,2.9,0.0,0.0,Low Burn
7,4,feb,2,mon,1,7.5,6.3,0.0,71,84.7,9.5,58.3,4.1,9.96,2.3942522815198695,High Burn
6,4,feb,2,tue,2,5.1,5.4,0.0,77,75.1,4.4,16.2,1.9,2.14,1.144222799920162,High Burn
6,5,feb,2,mon,1,5.3,1.8,0.0,68,84.1,4.6,46.7,2.2,0.0,0.0,Low Burn
2,2,feb,2,sat,6,4.6,0.9,0.0,59,79.5,3.6,15.3,1.8,6.84,2.0592388343623163,High Burn
4,5,feb,2,sun,7,10.1,1.8,0.0,62,85.0,9.0,56.9,3.5,51.78,3.966132331075178,High Burn
6,5,feb,2,tue,2,4.6,6.3,0.0,82,75.1,4.4,16.2,1.9,5.39,1.8547342683894434,High Burn
3,4,mar,3,sat,6,17.4,5.4,0.0,24,69.0,2.4,15.5,0.7,0.0,0.0,Low Burn
4,5,mar,3,fri,5,15.8,7.6,0.0,27,91.2,48.3,97.8,12.5,0.0,0.0,Low Burn
4,5,mar,3,fri,5,17.2,4.5,0.0,26,91.7,33.3,77.5,9.0,0.0,0.0,Low Burn
1,3,mar,3,mon,1,8.3,3.1,0.0,72,87.6,52.2,103.8,5.0,0.0,0.0,Low Burn
5,6,mar,3,sat,6,15.1,4.0,0.0,64,90.6,50.1,100.4,7.8,13.99,2.7073833121145063,High Burn
